CBSA Code,CBSA,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 ,2024 
12060,"Atlanta, GA","  100,455 ","  103,475 ","  106,841 ","  109,764 ","  112,912 ","  116,970 ","  120,342 ","  124,038 ","  128,717 ","  133,288 ","  138,108 ","  143,041 ","  148,775 ","  155,051 ","  162,049 ","  169,774 ","  178,218 ","  187,188 "
12580,"Baltimore, MD","  93,420 ","  95,763 ","  97,723 ","  99,330 ","  100,322 ","  101,416 ","  101,973 ","  102,417 ","  103,036 ","  103,543 ","  104,090 ","  105,194 ","  106,627 ","  108,251 ","  110,316 ","  112,804 ","  115,621 ","  118,511 "
14460,"Boston, MA","  175,593 ","  178,325 ","  180,329 ","  182,692 ","  184,913 ","  187,331 ","  189,253 ","  190,311 ","  191,100 ","  192,069 ","  193,767 ","  195,450 ","  197,813 ","  200,624 ","  204,274 ","  209,041 ","  214,931 ","  221,416 "
16980,"Chicago, IL","  298,712 ","  302,620 ","  305,910 ","  311,243 ","  315,712 ","  319,115 ","  321,464 ","  323,949 ","  326,448 ","  330,592 ","  334,868 ","  340,263 ","  346,642 ","  353,514 ","  361,923 ","  372,282 ","  383,961 ","  396,440 "
17140,"Cincinnati, OH","  68,771 ","  69,978 ","  70,841 ","  72,106 ","  73,458 ","  74,462 ","  75,143 ","  75,690 ","  76,379 ","  76,947 ","  77,568 ","  78,637 ","  79,845 ","  81,110 ","  82,712 ","  84,649 ","  86,840 ","  89,259 "
17460,"Cleveland, OH","  96,746 ","  97,988 ","  98,964 ","  99,486 ","  99,392 ","  99,143 ","  98,602 ","  98,268 ","  98,005 ","  98,226 ","  98,565 ","  99,111 ","  99,985 ","  101,008 ","  102,446 ","  104,316 ","  106,448 ","  108,794 "
19100,"Dallas, TX","  127,545 ","  130,267 ","  134,265 ","  138,368 ","  143,743 ","  149,304 ","  153,916 ","  159,196 ","  165,309 ","  171,211 ","  176,381 ","  182,276 ","  188,985 ","  196,332 ","  204,597 ","  213,581 ","  223,527 ","  234,247 "
19740,"Denver, CO","  60,905 ","  62,872 ","  64,668 ","  66,164 ","  68,055 ","  69,665 ","  70,970 ","  72,633 ","  74,047 ","  75,263 ","  76,554 ","  78,289 ","  80,346 ","  82,628 ","  85,315 ","  88,504 ","  92,230 ","  96,266 "
19820,"Detroit, MI","  164,470 ","  166,955 ","  168,866 ","  170,870 ","  171,965 ","  172,158 ","  171,288 ","  170,260 ","  169,570 ","  169,598 ","  169,845 ","  171,064 ","  172,875 ","  175,100 ","  178,218 ","  182,359 ","  187,169 ","  192,189 "
26420,"Houston, TX","  107,507 ","  111,242 ","  115,412 ","  119,424 ","  124,184 ","  128,399 ","  132,954 ","  138,145 ","  143,741 ","  148,808 ","  153,643 ","  159,028 ","  164,943 ","  171,504 ","  178,872 ","  186,974 ","  196,017 ","  205,740 "
28140,"Kansas City, MO","  65,922 ","  67,099 ","  67,612 ","  68,610 ","  69,672 ","  70,665 ","  71,513 ","  72,293 ","  73,081 ","  74,183 ","  75,281 ","  76,239 ","  77,591 ","  79,062 ","  81,000 ","  83,300 ","  85,861 ","  88,724 "
29820,"Las Vegas, NV","  41,102 ","  42,864 ","  44,503 ","  46,598 ","  48,584 ","  50,460 ","  52,505 ","  54,934 ","  57,618 ","  59,890 ","  62,589 ","  65,579 ","  68,918 ","  72,525 ","  76,313 ","  80,431 ","  84,833 ","  89,413 "
31080,"Los Angeles, CA","  380,468 ","  388,796 ","  396,571 ","  406,393 ","  416,103 ","  425,034 ","  432,428 ","  441,589 ","  452,052 ","  460,145 ","  468,368 ","  478,533 ","  489,866 ","  502,296 ","  515,721 ","  531,055 ","  548,772 ","  567,831 "
33100,"Miami, FL","  263,041 ","  268,160 ","  273,564 ","  279,184 ","  284,991 ","  290,173 ","  294,977 ","  299,592 ","  305,129 ","  311,050 ","  316,897 ","  322,271 ","  328,687 ","  335,638 ","  343,495 ","  352,430 ","  361,726 ","  371,754 "
