CBSA Code,CBSA,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 ,2024 
12060,"Atlanta, GA","  194,853 ","  198,500 ","  189,944 ","  181,687 ","  169,971 ","  163,083 ","  163,098 ","  173,821 ","  187,235 ","  197,222 ","  211,609 ","  212,175 ","  212,697 ","  213,448 ","  214,201 ","  214,797 ","  215,503 ","  216,235 "
12580,"Baltimore, MD","  311,092 ","  311,031 ","  298,760 ","  286,137 ","  277,745 ","  268,960 ","  269,266 ","  277,861 ","  287,694 ","  291,753 ","  295,079 ","  297,410 ","  299,444 ","  302,254 ","  303,208 ","  305,732 ","  308,000 ","  310,379 "
14460,"Boston, MA","  396,487 ","  384,995 ","  369,292 ","  365,162 ","  356,065 ","  358,059 ","  363,254 ","  375,521 ","  393,679 ","  414,264 ","  441,650 ","  446,032 ","  449,789 ","  453,836 ","  456,698 ","  459,816 ","  463,061 ","  466,214 "
16980,"Chicago, IL","  259,124 ","  269,073 ","  249,338 ","  235,982 ","  219,917 ","  206,827 ","  206,374 ","  211,437 ","  224,307 ","  230,119 ","  239,627 ","  240,285 ","  241,019 ","  242,176 ","  243,100 ","  243,712 ","  244,518 ","  245,286 "
17140,"Cincinnati, OH","  157,375 ","  164,134 ","  157,442 ","  157,387 ","  152,280 ","  152,204 ","  153,146 ","  153,141 ","  161,541 ","  167,083 ","  169,367 ","  169,118 ","  169,460 ","  169,917 ","  170,168 ","  170,394 ","  170,710 ","  171,028 "
17460,"Cleveland, OH","  152,788 ","  154,575 ","  147,606 ","  147,002 ","  140,115 ","  140,690 ","  138,051 ","  138,597 ","  143,350 ","  146,019 ","  150,707 ","  150,725 ","  150,945 ","  151,209 ","  151,430 ","  151,630 ","  151,825 ","  151,990 "
19100,"Dallas, TX","  144,760 ","  148,192 ","  149,227 ","  149,622 ","  147,460 ","  149,258 ","  152,895 ","  162,402 ","  175,998 ","  189,403 ","  213,629 ","  211,595 ","  213,617 ","  215,888 ","  217,993 ","  220,159 ","  221,210 ","  222,852 "
19740,"Denver, CO","  242,796 ","  252,076 ","  246,968 ","  244,589 ","  241,888 ","  244,703 ","  255,174 ","  275,567 ","  310,561 ","  344,248 ","  383,842 ","  387,780 ","  390,900 ","  394,472 ","  397,600 ","  400,986 ","  404,474 ","  407,888 "
19820,"Detroit, MI","  174,004 ","  168,597 ","  142,086 ","  128,877 ","  122,052 ","  118,503 ","  123,180 ","  137,413 ","  150,585 ","  162,247 ","  175,144 ","  173,227 ","  173,519 ","  174,163 ","  174,587 ","  175,054 ","  175,371 ","  175,767 "
26420,"Houston, TX","  137,746 ","  143,909 ","  142,030 ","  142,091 ","  140,766 ","  142,693 ","  144,808 ","  153,434 ","  171,451 ","  184,161 ","  193,578 ","  191,499 ","  193,443 ","  195,516 ","  197,447 ","  197,985 ","  199,121 ","  198,858 "
