CBSA Code,CBSA,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 ,2024 
12060,"Atlanta, GA","  54,206 ","  53,410 ","  51,481 ","  51,533 ","  54,923 ","  55,041 ","  55,426 ","  58,261 ","  61,106 ","  62,976 ","  63,430 ","  64,352 ","  65,353 ","  66,185 ","  66,968 ","  67,745 ","  68,490 ","  69,218 "
12580,"Baltimore, MD","  59,359 ","  61,432 ","  60,945 ","  62,195 ","  64,762 ","  66,224 ","  65,981 ","  68,038 ","  70,207 ","  72,107 ","  73,439 ","  74,770 ","  76,472 ","  78,125 ","  79,703 ","  81,226 ","  82,732 ","  84,160 "
14460,"Boston, MA","  64,088 ","  65,977 ","  64,853 ","  66,828 ","  69,280 ","  71,132 ","  70,807 ","  72,841 ","  76,952 ","  78,367 ","  79,851 ","  81,780 ","  83,483 ","  85,072 ","  86,614 ","  88,150 ","  89,581 ","  90,947 "
16980,"Chicago, IL","  56,724 ","  57,605 ","  53,836 ","  54,377 ","  56,631 ","  59,125 ","  59,885 ","  63,265 ","  66,055 ","  67,170 ","  68,079 ","  69,219 ","  70,291 ","  71,270 ","  72,244 ","  73,175 ","  74,065 ","  74,944 "
17140,"Cincinnati, OH","  47,855 ","  49,118 ","  47,458 ","  48,871 ","  52,133 ","  53,626 ","  53,869 ","  55,461 ","  57,541 ","  58,468 ","  59,362 ","  60,513 ","  61,758 ","  62,861 ","  63,930 ","  64,985 ","  65,980 ","  66,932 "
17460,"Cleveland, OH","  43,810 ","  45,341 ","  43,312 ","  43,670 ","  46,537 ","  48,522 ","  48,621 ","  50,618 ","  52,152 ","  52,911 ","  53,549 ","  54,253 ","  54,911 ","  55,627 ","  56,260 ","  56,906 ","  57,525 ","  58,096 "
19100,"Dallas, TX","  51,085 ","  54,278 ","  49,025 ","  50,324 ","  55,309 ","  57,656 ","  58,006 ","  61,626 ","  63,606 ","  63,536 ","  65,305 ","  66,860 ","  68,137 ","  69,421 ","  70,725 ","  71,969 ","  73,125 ","  74,262 "
19740,"Denver, CO","  56,860 ","  57,418 ","  52,672 ","  52,614 ","  57,058 ","  59,844 ","  62,677 ","  66,901 ","  69,147 ","  68,944 ","  70,404 ","  71,885 ","  73,096 ","  74,231 ","  75,487 ","  76,966 ","  78,324 ","  79,735 "
19820,"Detroit, MI","  46,752 ","  47,533 ","  45,093 ","  46,428 ","  49,699 ","  51,415 ","  51,819 ","  54,116 ","  57,115 ","  58,440 ","  58,664 ","  59,302 ","  59,967 ","  60,613 ","  61,212 ","  61,774 ","  62,288 ","  62,788 "
26420,"Houston, TX","  50,336 ","  55,310 ","  50,069 ","  51,293 ","  54,922 ","  59,576 ","  58,635 ","  62,119 ","  62,157 ","  59,539 ","  62,439 ","  64,647 ","  66,010 ","  67,612 ","  69,225 ","  70,699 ","  72,143 ","  73,599 "
28140,"Kansas City, MO","  49,673 ","  53,014 ","  51,746 ","  51,355 ","  54,337 ","  57,018 ","  57,360 ","  58,638 ","  60,259 ","  59,916 ","  61,373 ","  62,778 ","  63,687 ","  64,753 ","  65,770 ","  66,699 ","  67,607 ","  68,475 "
29820,"Las Vegas, NV","  52,360 ","  50,138 ","  45,904 ","  46,345 ","  47,650 ","  50,067 ","  49,315 ","  51,612 ","  54,235 ","  54,640 ","  55,117 ","  55,867 ","  56,553 ","  57,146 ","  57,711 ","  58,261 ","  58,773 ","  59,271 "
31080,"Los Angeles, CA","  53,770 ","  54,854 ","  52,473 ","  54,384 ","  57,587 ","  61,442 ","  60,272 ","  63,911 ","  68,263 ","  70,112 ","  71,377 ","  73,099 ","  74,714 ","  76,515 ","  78,351 ","  80,149 ","  81,873 ","  83,496 "
33100,"Miami, FL","  47,184 ","  46,424 ","  42,523 ","  44,764 ","  46,471 ","  47,390 ","  46,582 ","  49,758 ","  53,399 ","  54,186 ","  54,930 ","  56,049 ","  57,056 ","  57,957 ","  58,855 ","  59,686 ","  60,600 ","  61,507 "
33460,"Minneapolis, MN","  58,207 ","  59,546 ","  55,992 ","  57,404 ","  60,608 ","  63,735 ","  63,555 ","  66,670 ","  69,261 ","  70,408 ","  71,552 ","  72,901 ","  74,147 ","  75,367 ","  76,858 ","  78,243 ","  79,588 ","  80,900 "
35620,"New York, NY","  59,509 ","  60,925 ","  58,775 ","  59,941 ","  62,889 ","  65,556 ","  66,026 ","  68,202 ","  71,100 ","  72,205 ","  73,476 ","  74,913 ","  76,533 ","  78,116 ","  79,623 ","  81,048 ","  82,383 ","  83,681 "
36740,"Orlando, FL","  46,918 ","  46,652 ","  43,971 ","  45,302 ","  47,386 ","  47,891 ","  48,293 ","  50,510 ","  53,635 ","  54,726 ","  55,229 ","  56,139 ","  57,043 ","  57,807 ","  58,520 ","  59,357 ","  60,091 ","  60,939 "
37980,"Philadelphia, PA","  54,330 ","  56,265 ","  54,762 ","  56,148 ","  58,419 ","  60,714 ","  61,032 ","  63,276 ","  65,664 ","  66,971 ","  68,267 ","  69,626 ","  70,852 ","  72,022 ","  73,137 ","  74,229 ","  75,278 ","  76,476 "
38060,"Phoenix, AZ","  52,197 ","  51,119 ","  47,706 ","  47,567 ","  49,491 ","  51,447 ","  51,953 ","  54,017 ","  56,253 ","  57,163 ","  57,782 ","  58,647 ","  59,505 ","  60,280 ","  61,129 ","  61,831 ","  62,555 ","  63,314 "
38300,"Pittsburgh, PA","  43,565 ","  45,836 ","  44,725 ","  46,419 ","  49,011 ","  50,769 ","  50,860 ","  52,790 ","  54,889 ","  55,444 ","  56,617 ","  57,933 ","  58,943 ","  59,950 ","  61,097 ","  62,199 ","  63,247 ","  64,267 "
38900,"Portland, OR","  53,388 ","  55,285 ","  52,013 ","  52,247 ","  54,807 ","  57,467 ","  57,593 ","  60,507 ","  63,934 ","  65,425 ","  66,248 ","  67,437 ","  68,574 ","  69,679 ","  70,784 ","  71,883 ","  72,854 ","  73,816 "
40140,"Riverside, CA","  50,538 ","  50,969 ","  48,700 ","  48,792 ","  51,263 ","  51,968 ","  52,685 ","  54,944 ","  57,833 ","  59,331 ","  59,817 ","  60,753 ","  61,776 ","  62,597 ","  63,471 ","  64,294 ","  65,059 ","  65,836 "
40900,"Sacramento, CA","  52,309 ","  53,637 ","  51,803 ","  52,298 ","  54,806 ","  56,654 ","  57,722 ","  60,415 ","  63,911 ","  65,555 ","  66,591 ","  67,955 ","  69,261 ","  70,446 ","  71,642 ","  72,745 ","  73,909 ","  74,886 "
