"Community
Number","Community
Name",Level,"Room
Number",Room Typem,Room Type Style,"Care
Type",Grade," Gross Unit 
Area (sqft) ","Vacant 
Day",Resident Move in Date,Room Market Price,Resident Actual Rent Payment ,Room Discount
10362,Heritage Sun City,First,1,Studio,Studio Deluxe,AL,B,  570 ,,1/16/2018,"$3,850 ","$4,105 ",$255 
10362,Heritage Sun City,First,10,Studio,Studio Deluxe,AL,A,  487 ,,1/30/2018,"$3,830 ","$4,084 ",$254 
10362,Heritage Sun City,First,102,One Bedroom,One Bedroom,IL,A,"  1,164 ",,9/30/2008,"$3,249 ","$2,040 ","($1,209)"
10362,Heritage Sun City,First,103,Two Bedroom,Two Bedroom,IL,A,"  1,422 ",,8/31/2019,"$3,574 ","$3,574 ",$0 
10362,Heritage Sun City,First,104,One Bedroom,One Bedroom Deluxe,IL,A,"  1,155 ",,6/30/2019,"$2,999 ","$2,999 ",$0 
10362,Heritage Sun City,First,105,One Bedroom,One Bedroom Deluxe,IL,A,"  1,213 ",,3/26/2018,"$3,324 ","$3,502 ",$178 
10362,Heritage Sun City,First,106,Two Bedroom,Two Bedroom Deluxe,IL,A,"  1,585 ",143,,"$3,749 ",$0 ,"($3,749)"
10362,Heritage Sun City,First,107,Two Bedroom,Two Bedroom Deluxe,IL,A,"  1,599 ",,2/17/2017,"$3,799 ","$4,538 ",$739 
10362,Heritage Sun City,First,108,Two Bedroom,Two Bedroom Deluxe,IL,A,"  1,601 ",,4/15/2019,"$3,749 ",$600 ,"($3,149)"
10362,Heritage Sun City,First,109,One Bedroom,One Bedroom Deluxe,IL,A,"  1,142 ",,5/9/2019,"$2,999 ","$2,999 ",$0 
10362,Heritage Sun City,First,11,Studio,Studio Deluxe,AL,A,  551 ,44,,"$4,070 ",$0 ,"($4,070)"
10362,Heritage Sun City,First,110,Two Bedroom,Two Bedroom,IL,B,"  1,452 ",,4/29/2019,"$3,524 ","$2,900 ",($624)
10362,Heritage Sun City,First,111,Two Bedroom,Two Bedroom,IL,B,"  1,469 ",,12/25/2017,"$3,524 ","$3,400 ",($124)
10362,Heritage Sun City,First,112,One Bedroom,One Bedroom Deluxe,IL,B,"  1,207 ",,9/30/2018,"$3,149 ","$3,095 ",($54)
10362,Heritage Sun City,First,113,One Bedroom,One Bedroom,IL,A,  930 ,,7/20/2018,"$2,774 ","$2,775 ",$1 
10362,Heritage Sun City,First,114,One Bedroom,One Bedroom Deluxe,IL,B,"  1,136 ",,10/31/2019,"$3,099 ","$3,099 ",$0 
10362,Heritage Sun City,First,115,Two Bedroom,Two Bedroom Deluxe,IL,A,"  1,657 ",,2/1/2014,"$3,824 ","$4,213 ",$389 
10362,Heritage Sun City,First,116,One Bedroom,One Bedroom Deluxe,IL,B,"  1,149 ",,3/31/2013,"$3,249 ","$3,329 ",$80 
10362,Heritage Sun City,First,118,One Bedroom,One Bedroom,IL,B,  774 ,,1/31/2015,"$2,699 ","$3,290 ",$591 
10362,Heritage Sun City,First,119,One Bedroom,One Bedroom,IL,A,  773 ,,5/31/2018,"$2,749 ","$2,582 ",($167)
10362,Heritage Sun City,First,12,Studio,Studio Deluxe,AL,A,  519 ,,3/3/2018,"$4,070 ","$4,339 ",$269 
10362,Heritage Sun City,First,120,One Bedroom,One Bedroom Deluxe,IL,B,"  1,130 ",,9/30/2012,"$3,224 ","$2,854 ",($370)
10362,Heritage Sun City,First,121,One Bedroom,One Bedroom,IL,A,  899 ,,3/31/2019,"$2,749 ","$2,749 ",$0 
10362,Heritage Sun City,First,122,Two Bedroom,Two Bedroom,IL,B,"  1,422 ",,4/30/2018,"$3,524 ","$2,848 ",($676)
10362,Heritage Sun City,First,123,Two Bedroom,Two Bedroom,IL,B,"  1,412 ",,8/25/2017,"$3,524 ","$3,486 ",($38)
10362,Heritage Sun City,First,124,One Bedroom,One Bedroom Deluxe,IL,A,"  1,093 ",,8/31/2017,"$3,099 ","$3,491 ",$392 
10362,Heritage Sun City,First,125,One Bedroom,One Bedroom Deluxe,IL,B,"  1,105 ",,12/1/2017,"$3,099 ",$630 ,"($2,469)"
10362,Heritage Sun City,First,126,One Bedroom,One Bedroom,IL,A,  871 ,,6/30/2018,"$2,724 ","$2,858 ",$134 
10362,Heritage Sun City,First,128,Two Bedroom,Two Bedroom,IL,A,"  1,531 ",,7/31/2017,"$3,624 ",$624 ,"($3,000)"
10362,Heritage Sun City,First,13,Studio,Studio Deluxe,AL,A,  651 ,,12/31/2002,"$4,180 ","$3,651 ",($529)
10362,Heritage Sun City,First,14,Studio,Studio Deluxe,AL,A,  532 ,365,,"$4,070 ",$0 ,"($4,070)"
10362,Heritage Sun City,First,15,Studio,Studio Deluxe,AL,A,  629 ,,10/2/2015,"$4,180 ","$4,456 ",$276 
10362,Heritage Sun City,First,153,One Bedroom,One Bedroom Deluxe,IL,B,"  1,135 ",,10/12/2019,"$3,099 ","$3,099 ",$0 
10362,Heritage Sun City,First,154,Two Bedroom,Two Bedroom Deluxe,IL,A,"  1,610 ",,6/30/2019,"$3,799 ","$3,749 ",($50)
10362,Heritage Sun City,First,155,One Bedroom,One Bedroom,AL,A,"  1,146 ",69,,"$5,100 ",$0 ,"($5,100)"
10362,Heritage Sun City,First,156,One Bedroom,One Bedroom,AL,A,  936 ,,2/28/2011,"$4,850 ","$5,450 ",$600 
10362,Heritage Sun City,First,157,One Bedroom,One Bedroom Deluxe,IL,B,"  1,198 ",,2/9/2017,"$3,149 ","$4,066 ",$917 
10362,Heritage Sun City,First,158,Two Bedroom,Two Bedroom,AL,C,"  1,451 ",,10/31/2014,"$5,360 ","$5,460 ",$100 
10362,Heritage Sun City,First,159,Two Bedroom,Two Bedroom,IL,B,"  1,353 ",,3/31/2018,"$3,499 ","$3,729 ",$230 
10362,Heritage Sun City,First,16,Studio,Studio Deluxe,AL,A,  525 ,,7/11/2017,"$4,070 ","$4,333 ",$263 
10362,Heritage Sun City,First,160,One Bedroom,One Bedroom Deluxe,IL,A,"  1,137 ",,2/14/2017,"$3,149 ","$4,120 ",$971 
10362,Heritage Sun City,First,161,Two Bedroom,Two Bedroom Deluxe,IL,B,"  1,612 ",,8/31/2018,"$3,874 ","$3,695 ",($179)
10362,Heritage Sun City,First,162,Two Bedroom,Two Bedroom Deluxe,IL,A,"  1,592 ",,9/30/2018,"$3,824 ",$600 ,"($3,224)"
10362,Heritage Sun City,First,163,Two Bedroom,Two Bedroom Deluxe,IL,B,"  1,590 ",,10/31/2016,"$3,774 ",$630 ,"($3,144)"
10362,Heritage Sun City,First,164,One Bedroom,One Bedroom Deluxe,IL,A,"  1,212 ",,5/31/2019,"$3,224 ","$3,224 ",$0 
10362,Heritage Sun City,First,165,Two Bedroom,Two Bedroom,IL,B,"  1,448 ",,6/30/2018,"$3,649 ","$3,605 ",($44)
