CBSA Code,CBSA,Year,Quarter,Properties,Units,Occupancy,Annual Rent Growth, Units ,Annual Inventory Growth,Construction vs. Inventory
12060,"Atlanta, GA",2005,4Q2005,144,"11,432",90.9%,,"  11,432 ",,6.9%
12060,"Atlanta, GA",2006,1Q2006,144,"11,503",91.6%,,"  11,503 ",,6.2%
12060,"Atlanta, GA",2006,2Q2006,145,"11,595",91.9%,,"  11,595 ",,5.5%
12060,"Atlanta, GA",2006,3Q2006,145,"11,598",91.4%,,"  11,598 ",,10.3%
12060,"Atlanta, GA",2006,4Q2006,145,"11,602",91.5%,4.1%,"  11,602 ",1.5%,14.5%
12060,"Atlanta, GA",2007,1Q2007,146,"11,724",90.7%,3.4%,"  11,724 ",1.9%,14.4%
12060,"Atlanta, GA",2007,2Q2007,146,"11,883",90.9%,5.1%,"  11,883 ",2.5%,13.0%
12060,"Atlanta, GA",2007,3Q2007,147,"12,183",89.3%,4.6%,"  12,183 ",5.0%,10.3%
12060,"Atlanta, GA",2007,4Q2007,149,"12,795",85.0%,5.2%,"  12,795 ",10.3%,5.8%
12060,"Atlanta, GA",2008,1Q2008,152,"13,230",83.5%,4.4%,"  13,230 ",12.8%,4.1%
12060,"Atlanta, GA",2008,2Q2008,152,"13,281",83.3%,3.0%,"  13,281 ",11.8%,3.8%
12060,"Atlanta, GA",2008,3Q2008,152,"13,283",84.4%,2.4%,"  13,283 ",9.0%,5.0%
12060,"Atlanta, GA",2008,4Q2008,152,"13,407",85.0%,2.8%,"  13,407 ",4.8%,4.6%
12060,"Atlanta, GA",2009,1Q2009,156,"13,736",83.0%,2.6%,"  13,736 ",3.8%,2.6%
12060,"Atlanta, GA",2009,2Q2009,156,"13,782",82.4%,2.6%,"  13,782 ",3.8%,2.2%
12060,"Atlanta, GA",2009,3Q2009,158,"13,925",83.4%,1.6%,"  13,925 ",4.8%,1.5%
12060,"Atlanta, GA",2009,4Q2009,158,"13,946",84.1%,0.8%,"  13,946 ",4.0%,1.3%
12060,"Atlanta, GA",2010,1Q2010,159,"14,010",84.0%,1.4%,"  14,010 ",2.0%,1.9%
12060,"Atlanta, GA",2010,2Q2010,160,"14,067",84.6%,1.2%,"  14,067 ",2.1%,1.5%
12060,"Atlanta, GA",2010,3Q2010,160,"14,066",84.7%,1.5%,"  14,066 ",1.0%,2.7%
12060,"Atlanta, GA",2010,4Q2010,161,"14,098",84.7%,1.2%,"  14,098 ",1.1%,2.4%
12060,"Atlanta, GA",2011,1Q2011,162,"14,182",85.1%,1.0%,"  14,182 ",1.2%,2.2%
12060,"Atlanta, GA",2011,2Q2011,164,"14,332",85.4%,1.1%,"  14,332 ",1.9%,1.8%
12060,"Atlanta, GA",2011,3Q2011,164,"14,333",85.8%,1.3%,"  14,333 ",1.9%,2.6%
12060,"Atlanta, GA",2011,4Q2011,164,"14,343",86.3%,1.5%,"  14,343 ",1.7%,4.0%
12060,"Atlanta, GA",2012,1Q2012,164,"14,421",87.4%,0.3%,"  14,421 ",1.7%,3.4%
12060,"Atlanta, GA",2012,2Q2012,164,"14,420",88.0%,1.0%,"  14,420 ",0.6%,4.1%
12060,"Atlanta, GA",2012,3Q2012,166,"14,599",87.7%,1.3%,"  14,599 ",1.9%,3.3%
12060,"Atlanta, GA",2012,4Q2012,167,"14,690",87.6%,0.4%,"  14,690 ",2.4%,5.1%
12060,"Atlanta, GA",2013,1Q2013,168,"14,730",87.3%,1.9%,"  14,730 ",2.1%,6.0%
12060,"Atlanta, GA",2013,2Q2013,169,"14,878",86.1%,1.8%,"  14,878 ",3.2%,5.8%
12060,"Atlanta, GA",2013,3Q2013,170,"14,922",87.8%,1.8%,"  14,922 ",2.2%,5.8%
12060,"Atlanta, GA",2013,4Q2013,172,"15,093",89.0%,2.4%,"  15,093 ",2.7%,5.2%
12060,"Atlanta, GA",2014,1Q2014,175,"15,270",88.9%,2.2%,"  15,270 ",3.7%,6.2%
12060,"Atlanta, GA",2014,2Q2014,176,"15,311",90.2%,2.3%,"  15,311 ",2.9%,6.8%
12060,"Atlanta, GA",2014,3Q2014,179,"15,582",89.3%,2.6%,"  15,582 ",4.4%,7.3%
12060,"Atlanta, GA",2014,4Q2014,180,"15,658",90.5%,2.8%,"  15,658 ",3.7%,7.8%
12060,"Atlanta, GA",2015,1Q2015,181,"15,804",89.3%,3.0%,"  15,804 ",3.5%,9.2%
12060,"Atlanta, GA",2015,2Q2015,181,"15,811",89.8%,2.6%,"  15,811 ",3.3%,11.6%
12060,"Atlanta, GA",2015,3Q2015,183,"16,091",89.8%,2.5%,"  16,091 ",3.3%,14.5%
12060,"Atlanta, GA",2015,4Q2015,184,"16,200",89.2%,2.3%,"  16,200 ",3.5%,16.2%
12060,"Atlanta, GA",2016,1Q2016,185,"16,447",88.1%,2.5%,"  16,447 ",4.1%,17.2%
12060,"Atlanta, GA",2016,2Q2016,187,"16,691",87.5%,3.0%,"  16,691 ",5.6%,18.5%
12060,"Atlanta, GA",2016,3Q2016,191,"17,252",86.7%,3.1%,"  17,252 ",7.2%,15.8%
12060,"Atlanta, GA",2016,4Q2016,194,"17,698",85.5%,3.4%,"  17,698 ",9.2%,15.4%
12060,"Atlanta, GA",2017,1Q2017,197,"17,994",85.3%,2.3%,"  17,994 ",9.4%,16.4%
12060,"Atlanta, GA",2017,2Q2017,202,"18,331",83.9%,2.0%,"  18,331 ",9.8%,16.6%
12060,"Atlanta, GA",2017,3Q2017,206,"18,601",84.5%,1.3%,"  18,601 ",7.8%,18.2%
12060,"Atlanta, GA",2017,4Q2017,212,"19,100",84.3%,1.2%,"  19,100 ",7.9%,18.1%
12060,"Atlanta, GA",2018,1Q2018,213,"19,474",83.2%,1.4%,"  19,474 ",8.2%,17.6%
12060,"Atlanta, GA",2018,2Q2018,217,"20,123",82.7%,1.7%,"  20,123 ",9.8%,16.1%
12060,"Atlanta, GA",2018,3Q2018,217,"20,123",83.6%,2.2%,"  20,123 ",8.2%,17.3%
12060,"Atlanta, GA",2018,4Q2018,220,"20,393",84.1%,2.2%,"  20,393 ",6.8%,17.5%
12060,"Atlanta, GA",2019,1Q2019,222,"20,664",84.4%,2.5%,"  20,664 ",6.1%,16.7%
12060,"Atlanta, GA",2019,2Q2019,228,"21,340",83.5%,2.2%,"  21,340 ",6.0%,14.4%
12060,"Atlanta, GA",2019,3Q2019,231,"21,792",83.1%,1.8%,"  21,792 ",8.3%,13.0%
12580,"Baltimore, MD",2005,4Q2005,68,"11,904",94.7%,,"  11,904 ",,3.4%
12580,"Baltimore, MD",2006,1Q2006,69,"12,209",92.4%,,"  12,209 ",,0.8%
12580,"Baltimore, MD",2006,2Q2006,69,"12,209",93.3%,,"  12,209 ",,0.8%
12580,"Baltimore, MD",2006,3Q2006,70,"12,269",93.2%,,"  12,269 ",,1.3%
12580,"Baltimore, MD",2006,4Q2006,70,"12,266",93.2%,5.4%,"  12,266 ",,1.3%
12580,"Baltimore, MD",2007,1Q2007,71,"12,302",93.6%,3.6%,"  12,302 ",,1.0%
12580,"Baltimore, MD",2007,2Q2007,71,"12,303",93.8%,3.5%,"  12,303 ",,1.0%
12580,"Baltimore, MD",2007,3Q2007,71,"12,297",94.2%,4.0%,"  12,297 ",,1.0%
12580,"Baltimore, MD",2007,4Q2007,72,"12,418",93.3%,4.8%,"  12,418 ",,0.0%
12580,"Baltimore, MD",2008,1Q2008,72,"12,421",92.7%,4.6%,"  12,421 ",,0.0%
12580,"Baltimore, MD",2008,2Q2008,72,"12,421",93.4%,5.7%,"  12,421 ",,0.5%
12580,"Baltimore, MD",2008,3Q2008,72,"12,421",93.0%,5.5%,"  12,421 ",,1.2%
12580,"Baltimore, MD",2008,4Q2008,72,"12,421",92.2%,2.7%,"  12,421 ",,1.2%
12580,"Baltimore, MD",2009,1Q2009,72,"12,423",91.3%,4.7%,"  12,423 ",,2.4%
12580,"Baltimore, MD",2009,2Q2009,73,"12,473",91.7%,4.2%,"  12,473 ",,2.5%
12580,"Baltimore, MD",2009,3Q2009,73,"12,486",92.1%,3.6%,"  12,486 ",,2.4%
12580,"Baltimore, MD",2009,4Q2009,74,"12,538",91.6%,5.4%,"  12,538 ",,1.9%
12580,"Baltimore, MD",2010,1Q2010,74,"12,567",90.5%,3.7%,"  12,567 ",,2.4%
12580,"Baltimore, MD",2010,2Q2010,74,"12,568",91.1%,3.1%,"  12,568 ",,2.4%
12580,"Baltimore, MD",2010,3Q2010,75,"12,708",89.7%,3.4%,"  12,708 ",,1.1%
12580,"Baltimore, MD",2010,4Q2010,75,"12,763",89.9%,1.9%,"  12,763 ",,2.2%
12580,"Baltimore, MD",2011,1Q2011,75,"12,784",90.5%,2.1%,"  12,784 ",,2.0%
12580,"Baltimore, MD",2011,2Q2011,76,"12,852",90.6%,1.9%,"  12,852 ",,2.2%
12580,"Baltimore, MD",2011,3Q2011,76,"12,849",90.8%,1.2%,"  12,849 ",,2.2%
12580,"Baltimore, MD",2011,4Q2011,77,"12,940",90.0%,0.4%,"  12,940 ",,1.7%
12580,"Baltimore, MD",2012,1Q2012,78,"13,034",90.7%,0.1%,"  13,034 ",,0.9%
12580,"Baltimore, MD",2012,2Q2012,79,"13,145",90.9%,0.5%,"  13,145 ",,0.0%
12580,"Baltimore, MD",2012,3Q2012,79,"13,149",91.1%,1.3%,"  13,149 ",,1.6%
12580,"Baltimore, MD",2012,4Q2012,79,"13,148",91.3%,2.1%,"  13,148 ",,1.6%
12580,"Baltimore, MD",2013,1Q2013,79,"13,136",90.9%,2.5%,"  13,136 ",,2.7%
12580,"Baltimore, MD",2013,2Q2013,79,"13,188",91.4%,2.1%,"  13,188 ",,2.9%
12580,"Baltimore, MD",2013,3Q2013,79,"13,192",91.7%,2.8%,"  13,192 ",,3.9%
12580,"Baltimore, MD",2013,4Q2013,80,"13,332",92.0%,2.6%,"  13,332 ",,2.8%
12580,"Baltimore, MD",2014,1Q2014,80,"13,336",92.8%,3.6%,"  13,336 ",,2.8%
12580,"Baltimore, MD",2014,2Q2014,80,"13,337",93.0%,3.2%,"  13,337 ",,2.8%
12580,"Baltimore, MD",2014,3Q2014,81,"13,482",92.9%,2.5%,"  13,482 ",,3.8%
12580,"Baltimore, MD",2014,4Q2014,81,"13,461",93.5%,2.4%,"  13,461 ",,3.8%
12580,"Baltimore, MD",2015,1Q2015,81,"13,461",93.3%,2.7%,"  13,461 ",,4.7%
12580,"Baltimore, MD",2015,2Q2015,83,"13,687",92.4%,1.4%,"  13,687 ",,3.0%
12580,"Baltimore, MD",2015,3Q2015,83,"13,687",92.5%,1.6%,"  13,687 ",,3.0%
12580,"Baltimore, MD",2015,4Q2015,84,"13,700",92.8%,2.3%,"  13,700 ",,3.0%
12580,"Baltimore, MD",2016,1Q2016,85,"13,975",91.9%,1.6%,"  13,975 ",,0.9%
